old,weird,new,lng,lat
S169,169,168,-73.94077,40.814229
S170,170,169,-73.949625,40.802098
S171,171,170,-73.905227,40.85041
S172,172,171,-73.953676,40.822008
S173,173,172,-73.936245,40.820421
S174,174,173,-73.911794,40.84848
S175,175,174,-73.907684,40.853453
S176,176,175,-73.9134,40.839306
S177,177,176,-73.940133,40.840556
S178,178,177,-73.933596,40.849505
S179,179,178,-73.929412,40.855225
S180,180,179,-73.939704,40.847391
S181,181,180,-73.776013,40.592943
S182,182,181,-73.788522,40.592374
S183,183,182,-73.82052059,40.58538569
S184,184,183,-73.83559009,40.58095587
S185,185,184,-73.768175,40.595398
S186,186,185,-73.761353,40.600066
S187,187,186,-73.803289,40.707572
S188,188,187,-73.7934742,40.7105175
S189,189,188,-73.8627,40.749865
S190,190,189,-73.855334,40.75173
S191,191,190,-73.8616182,40.72976397
S192,192,191,-73.86505,40.677044
S193,193,192,-73.979917,40.783934
S194,194,193,-73.903097,40.67534467
S195,195,194,-74.002906,40.733422
S196,196,195,-73.825798,40.685951
S197,197,196,-73.987691,40.755477
S198,198,197,-73.97595787,40.57603382
S199,199,198,-73.993365,40.747215
S200,200,199,-73.984264,40.74307
S201,201,200,-73.828121,40.852462
S202,202,201,-73.842952,40.839892
S203,203,202,-73.997871,40.74104
S204,204,203,-73.976041,40.751431
S205,205,204,-73.796924,40.590927
S206,206,205,-74.000495,40.732338
S207,207,206,-73.860087,40.692427
S208,208,207,-73.852052,40.693704
S209,209,208,-73.83679338,40.69711481
S210,210,209,-73.828349,40.700482
S211,211,210,-73.903934,40.695518
S212,212,211,-73.91097572,40.69947106
S213,213,212,-73.88411071,40.66631493
S214,214,213,-73.890358,40.67271
S215,215,214,-73.885194,40.679778
S216,216,215,-73.90056237,40.66405727
S217,217,216,-73.90244864,40.663589
S218,218,217,-73.90895834,40.66261749
S219,219,218,-73.90185,40.64665367
S220,220,219,-73.89954769,40.65046879
S221,221,220,-73.91633025,40.66152979
S222,222,221,-73.92252119,40.66476679
S223,223,222,-73.89927796,40.65891477
S224,224,223,-73.90429,40.679366
S225,225,224,-73.898526,40.676998
S226,226,225,-73.88075,40.67413
S227,227,226,-73.87392925,40.68315266
S228,228,227,-73.873322,40.689616
S229,229,228,-73.867288,40.69129
S230,230,229,-73.896403,40.746325
S231,231,230,-73.89120513,40.74686757
S232,232,231,-73.86943209,40.73309737
S233,233,232,-73.912179,40.699454
S234,234,233,-73.907582,40.702919
S235,235,234,-73.918232,40.703693
S236,236,235,-73.912549,40.744149
S237,237,236,-73.91352175,40.75631695
S238,238,237,-73.90606508,40.75282483
S239,239,238,-73.918435,40.743132
S240,240,239,-73.883697,40.747659
S241,241,240,-73.876613,40.748408
S242,242,241,-73.830301,40.660476
S243,243,242,-73.834058,40.668234
S244,244,243,-73.82069264,40.70916182
S245,245,244,-73.84451672,40.72159431
S246,246,245,-73.810833,40.705418
S247,247,246,-73.80109632,40.70206738
S248,248,247,-73.86021462,40.88802826
S249,249,248,-73.879159,40.828584
S250,250,249,-73.896435,40.816104
S251,251,250,-73.918095,40.770037
S252,252,251,-73.912034,40.77503567
S253,253,252,-73.90770194,40.81643747
S254,254,253,-73.90177779,40.81948726
S255,255,254,-73.914042,40.805368
S256,256,255,-73.8876936,40.83719555
S257,257,256,-73.86723423,40.86548338
S258,258,257,-73.907657,40.808719
S259,259,258,-73.897174,40.86776
S260,260,259,-73.890064,40.873412
S261,261,260,-73.93647,40.82388
S262,262,261,-73.914685,40.844434
S263,263,262,-73.897749,40.861296
S264,264,263,-73.917791,40.840075
S265,265,264,-73.887138,40.873244
S266,266,265,-73.909831,40.874561
S267,267,266,-73.904834,40.878856
S268,268,267,-73.915279,40.869444
S269,269,268,-73.918819,40.864614
S270,270,269,-73.919899,40.868072
S271,271,270,-73.898583,40.889248
S272,272,271,-73.87996128,40.84020763
S273,273,272,-73.86250971,40.88388797
S274,274,273,-73.884655,40.87975
S275,275,274,-73.878855,40.874811
S276,276,275,-73.86705362,40.8712588
S277,277,276,-73.838591,40.878663
S278,278,277,-73.830834,40.8883
S279,279,278,-73.783817,40.71264567
S280,280,279,-73.85062,40.903125
S281,281,280,-73.959245,40.67034267
S282,282,281,-73.90526176,40.68286063
S283,283,282,-73.90311758,40.67845625
S284,284,283,-73.846384,40.869526
S285,285,284,-73.8733461,40.84186304
S286,286,285,-73.925536,40.860531
S287,287,286,-73.958372,40.815581
S288,288,287,-73.955827,40.68059567
S289,289,288,-73.92672247,40.81833014
S290,290,289,-73.91779153,40.81602925
S291,291,290,-73.9214,40.835537
S292,292,291,-73.91924,40.807566
S293,293,292,-73.930997,40.744587
S294,294,293,-73.924016,40.743781
S295,295,294,-73.94408793,40.82476636
S296,296,295,-73.938209,40.830135
S297,297,296,-73.925651,40.827905
S298,298,297,-73.930729,40.679364
S299,299,298,-73.92052647,40.75698736
S300,300,299,-73.928509,40.693172
S301,301,300,-73.922156,40.689584
S302,302,301,-73.927243,40.697873
S303,303,302,-73.91972,40.69866
S304,304,303,-73.921479,40.76677867
S305,305,304,-73.922913,40.70660667
S306,306,305,-73.933147,40.70615167
S307,307,306,-73.93713824,40.74891772
S308,308,307,-73.976971,40.62975467
S309,309,308,-74.02551,40.62974167
S310,310,309,-74.023377,40.63496667
S311,311,310,-73.99465878,40.63626089
S312,312,311,-74.005351,40.63138567
S313,313,312,-73.986829,40.59770367
S314,314,313,-73.9936762,40.60195046
S315,315,314,-73.984522,40.617109
