Station_id,longitude,latitude
171,-73.80758325,40.76805065
123,-73.96472989,40.59826463
139,-73.74506712,40.67671823
92,-73.82766207,40.7602812
241,-73.89597174,40.87534252
190,-73.97256949,40.66106114
208,-73.81389867,40.81958261
174,-73.88201558,40.87866466
106,-73.99187384,40.67382309
58,-73.81521471,40.84398817
60,-73.88343061,40.83526766
227,-74.00686329,40.63975193
261,-74.01398316,40.7074555
236,-73.95713832,40.78026297
47,-73.90047162,40.8432138
166,-73.96361252,40.81067103
252,-73.81498805,40.79509714
88,-74.01181058,40.70127262
230,-73.98431328,40.75960675
209,-74.00226657,40.708273
231,-74.00988012,40.71884791
1,-74.17427028,40.6902433
172,-74.10462648,40.56889696
221,-74.07219203,40.62045814
18,-73.88938681,40.86887674
137,-73.97382133,40.73788468
143,-73.99006536,40.77639416
229,-73.96428392,40.75578434
214,-74.07929472,40.58392473
147,-73.89856558,40.8197432
161,-73.97734957,40.75775272
183,-73.83110403,40.84936889
38,-73.73553021,40.69510435
255,-73.96167245,40.71965141
245,-74.10379675,40.63234668
156,-74.17441129,40.64072729
117,-73.79131619,40.59682816
102,-73.87706508,40.70180232
248,-73.87366158,40.83486172
28,-73.80698408,40.71231351
247,-73.92407632,40.83023339
168,-73.91305356,40.80467993
238,-73.97406636,40.79238761
118,-74.12842853,40.5885485
128,-73.92363416,40.87888583
119,-73.92626404,40.83793777
160,-73.88297626,40.71934479
148,-73.9912183,40.71826707
145,-73.954881,40.74251557
226,-73.92583673,40.72699995
70,-73.865871,40.76327344
173,-73.86145877,40.75417939
188,-73.94809135,40.65874201
37,-73.92392073,40.69546427
41,-73.95057322,40.80335613
73,-73.80716879,40.75294515
217,-73.95803773,40.7040568
9,-73.79018836,40.75030244
84,-74.19254831,40.52052401
216,-73.81713132,40.676476
124,-73.84716262,40.655416
228,-74.01194748,40.65547843
90,-73.99678865,40.74218874
239,-73.98317024,40.78479094
153,-73.91181743,40.87456935
257,-73.97842659,40.65603415
202,-73.95021026,40.76176295
258,-73.85473164,40.68764044
30,-73.82289587,40.60288204
136,-73.90776107,40.86512433
213,-73.83932651,40.82271571
68,-74.00055338,40.74825055
80,-73.93082204,40.71505084
130,-73.79052743,40.70613787
75,-73.94187928,40.78825569
211,-74.00219049,40.72351129
15,-73.77860619,40.79099486
263,-73.95019865,40.77901985
