454,367, 448
7,398, 161
106,363, 70
376,368, 394, 367
320,323, 319
269,268, 286
45,134, 131
16,183, 184
242,243, 99
164,64, 245
193,86, 162
135,136, 222
425,426, 418
213,46
318,309, 317
347,353, 362, 348
271,6
74,211, 282
298,8, 38
150,72, 149
467,457, 2
60,349, 366
391,388, 387
362,347, 437
284,273, 276
409,410
255,258, 292
31,85, 32, 49, 105
58,180, 412
438,37, 9, 245, 346
411,412, 295
87,41, 248
304,251, 79
389,393, 390, 388
226,214, 459
119,70, 118
440,295, 399
121,15, 348, 122, 36
148,137, 71
177,178, 157
333,334, 198
29,2, 427, 105
108,374, 107
273,248, 284, 40
20,263, 171
47,48, 141
456,274
400,401, 435, 417
137,138, 148
18,256, 43
349,348, 60, 350, 120, 142
351,352, 350, 307, 356, 641, 355
9,438, 238
641,351, 642
380,144, 379
195,439, 97
244,246, 64, 63
166,167, 159
76,372, 140
110,109, 69
322,319, 321
427,29, 420
378,435, 377, 421
215,13, 12
188,279, 187
69,110, 308
4,116, 115
315,316, 341
237,238, 299
422,429, 421
159,166, 158
98,104, 83
42,129, 455, 445, 116
190,23, 189
344,113, 343
373,300, 372, 302, 303, 234, 301, 139
103,293, 93, 155, 357
71,148, 364
266,267, 268
295,296, 440, 411, 399
449,234, 432
210,65, 209, 14
208,14, 207, 229
13,227, 215, 12
161,7, 57
451,33, 34, 468, 49
132,130, 133
234,373, 449
100,327, 198
312,77, 324
127,447, 8
37,68, 438
397,431, 396
370,371, 369
263,59, 20
368,452, 376, 453, 367
185,181, 186
156,157, 172
66,307, 143
341,315, 332
205,99, 182
1,105, 457
95,93, 101
339,342, 338
446,430, 406
10,299, 307
417,400, 416
292,255, 27
445,42, 136
155,78, 103
36,121, 382, 122
340,343, 330
204,101, 466
291,264, 48
309,310, 318
396,397, 180
338,339, 337
311,392, 62
184,16
289,290, 169, 141
94,88, 3
416,417, 429
262,174, 264
367,368, 454, 118, 376
126,40, 125
65,247, 210, 63
430,402, 446
21,171, 176
274,456, 260
19,43, 254
379,380, 401
401,379, 400
428,413
48,22, 296, 291, 47
